name,label,node_type,degree,strength,label_priority,x,y
AFF::Fear,Fear,Affect,25,33.16229098386992,3,11.803668387469395,4.491491749084178
AFF::Anxiety / uncertainty,Anxiety / uncertainty,Affect,25,22.914216631321896,3,12.0947847395439,3.9341251662267385
AFF::Anger,Anger,Affect,19,16.877939399781503,3,11.540066587968715,5.056832809924635
AFF::Moral outrage,Moral outrage,Affect,23,28.65135049161365,3,11.74178829527563,4.635496348087768
AFF::Grief / sadness,Grief / sadness,Affect,23,20.969163935479724,3,11.846058818594802,3.8864442566649338
AFF::Solidarity,Solidarity,Affect,42,80.18936989910675,3,11.286263482592023,4.156699848262734
AFF::Care / compassion,Care / compassion,Affect,42,71.39203328834907,3,11.353394474630155,4.10555494988389
AFF::Empathy,Empathy,Affect,32,40.72183792815372,3,11.696083789373898,4.411619585384623
AFF::Hope,Hope,Affect,41,56.423951545530485,3,10.894864778547257,3.5918125930036684
AFF::Reassurance,Reassurance,Affect,34,26.31385193753615,3,11.903971289086149,3.370072288016391
AFF::Defiance,Defiance,Affect,22,24.315338988496883,3,11.552258318384247,4.798751310208659
AFF::Urgency,Urgency,Affect,27,39.383005590900325,3,11.620561923069223,4.580994662401952
AFF::Pride,Pride,Affect,31,33.06280412569887,3,10.78355967990706,3.632724212358857
AFF::Gratitude,Gratitude,Affect,24,19.324841269841272,3,11.692783327970375,3.3269136579541185
ORG::D2-01,ACLU of Minnesota,Organization,19,26.384615384615387,2,11.792025385336203,4.847646308339527
ORG::D2-03,Ayada Leads,Organization,14,14,1,11.566868324449391,3.6108086955636027
ORG::D2-07,Groundwork Legal,Organization,14,21.6,2,11.608064920211948,4.097931768281873
ORG::D2-10,Immigrant Defense Network,Organization,13,25,2,11.356045450155644,4.55718984161087
ORG::TC002,Cedar Riverside Adult Education Collaborative,Organization,4,0.5,1,6.999224263097818,0
ORG::TC003,Centro Tyrone Guzman,Organization,8,16,1,11.050766988144357,3.9769919601751247
ORG::TC008,Literacy Minnesota,Organization,9,17,2,11.6037691830375,3.7480971154406806
ORG::TC015,Aeon,Organization,7,9,1,11.201110496117458,3.2640158808160766
ORG::TC016,Bridging,Organization,5,10,1,11.267557181898976,3.7453089160519513
ORG::TC019,Esperanza United,Organization,11,26,2,11.539498620248885,4.314681619475489
ORG::TC021,IAFR Jonathan House,Organization,10,20,2,11.70056510679023,4.161520613600839
ORG::TC023,Missions Inc. Programs,Organization,13,10,1,10.778004062995038,4.2364198184021244
ORG::TC025,Twin Cities Habitat for Humanity,Organization,11,8.615384615384615,1,11.450247015060711,3.191436658973589
ORG::TC026,Volunteers of America Minnesota and Wisconsin,Organization,7,9.2,1,11.258120856974525,3.454089044229347
ORG::TC028,ACER,Organization,11,10.25,1,11.067205261448722,3.4377409226823215
ORG::TC030,African Development Center of Minnesota,Organization,3,4,1,10.885930393036634,2.9801658003996563
ORG::TC031,African Economic Development Solutions (AEDS),Organization,6,9.5,1,11.102062067227337,3.864086429004233
ORG::TC034,Al-Maa'uun,Organization,5,6.25,1,11.52063326402373,3.4076113369330088
ORG::TC035,Arrive Ministries,Organization,9,9.166666666666666,1,10.619311592483513,4.370986740902377
ORG::TC036,Catholic Charities Twin Cities,Organization,8,11,1,11.012136642930933,4.616710971325941
ORG::TC037,CommonBond Communities,Organization,6,6.999999999999999,1,10.507750539507239,3.598230386476487
ORG::TC038,Comunidades Latinas Unidas En Servicio (CLUES),Organization,11,2.0833333333333335,1,12.9031666600162,6.313783022144323
ORG::TC041,International Institute of Minnesota,Organization,21,24.960000000000004,2,11.816375069588052,3.994967212876468
ORG::TC042,Isuroon,Organization,11,11.75,1,10.824999818588216,4.472727499266626
ORG::TC044,Minnesota Council of Churches,Organization,14,21.333333333333332,2,11.375633831150079,4.307269420844163
ORG::TC047,Oromo Community of Minnesota,Organization,12,14,1,11.436275643334941,3.8239575457446606
ORG::TC050,Project for Pride in Living,Organization,14,11.777777777777779,1,10.554699669087803,4.0569187339153
