org_id,organization,affect,observed_items,affect_item_count,raw_intensity_sum,normalized_intensity_per_item,prevalence_share
D2-07,Groundwork Legal,Urgency,5,3,8.0,1.6,0.6
D2-10,Immigrant Defense Network,Fear,1,1,2.0,2.0,1.0
D2-10,Immigrant Defense Network,Anger,1,1,2.0,2.0,1.0
D2-10,Immigrant Defense Network,Moral outrage,1,1,3.0,3.0,1.0
D2-10,Immigrant Defense Network,Grief / sadness,1,1,1.0,1.0,1.0
D2-10,Immigrant Defense Network,Solidarity,1,1,3.0,3.0,1.0
D2-10,Immigrant Defense Network,Care / compassion,1,1,2.0,2.0,1.0
D2-10,Immigrant Defense Network,Empathy,1,1,2.0,2.0,1.0
D2-10,Immigrant Defense Network,Hope,1,1,1.0,1.0,1.0
D2-10,Immigrant Defense Network,Pride,1,1,1.0,1.0,1.0
D2-10,Immigrant Defense Network,Defiance,1,1,3.0,3.0,1.0
D2-10,Immigrant Defense Network,Urgency,1,1,3.0,3.0,1.0
TC002,Cedar Riverside Adult Education Collaborative,Solidarity,10,1,1.0,0.1,0.1
TC002,Cedar Riverside Adult Education Collaborative,Hope,10,2,2.0,0.2,0.2
TC002,Cedar Riverside Adult Education Collaborative,Pride,10,1,1.0,0.1,0.1
TC002,Cedar Riverside Adult Education Collaborative,Reassurance,10,1,1.0,0.1,0.1
TC003,Centro Tyrone Guzman,Grief / sadness,1,1,2.0,2.0,1.0
TC003,Centro Tyrone Guzman,Solidarity,1,1,3.0,3.0,1.0
TC003,Centro Tyrone Guzman,Care / compassion,1,1,2.0,2.0,1.0
TC003,Centro Tyrone Guzman,Empathy,1,1,1.0,1.0,1.0
TC003,Centro Tyrone Guzman,Hope,1,1,2.0,2.0,1.0
TC003,Centro Tyrone Guzman,Gratitude,1,1,1.0,1.0,1.0
TC003,Centro Tyrone Guzman,Pride,1,1,3.0,3.0,1.0
TC008,Literacy Minnesota,Anxiety / uncertainty,1,1,2.0,2.0,1.0
TC008,Literacy Minnesota,Grief / sadness,1,1,2.0,2.0,1.0
TC008,Literacy Minnesota,Solidarity,1,1,2.0,2.0,1.0
TC008,Literacy Minnesota,Care / compassion,1,1,3.0,3.0,1.0
TC008,Literacy Minnesota,Empathy,1,1,1.0,1.0,1.0
TC008,Literacy Minnesota,Hope,1,1,1.0,1.0,1.0
TC008,Literacy Minnesota,Gratitude,1,1,3.0,3.0,1.0
TC008,Literacy Minnesota,Reassurance,1,1,2.0,2.0,1.0
TC008,Literacy Minnesota,Urgency,1,1,1.0,1.0,1.0
TC015,Aeon,Solidarity,3,3,4.0,1.3333333333333333,1.0
TC015,Aeon,Care / compassion,3,3,5.0,1.6666666666666667,1.0
TC015,Aeon,Empathy,3,1,1.0,0.3333333333333333,0.3333333333333333
TC015,Aeon,Hope,3,3,6.0,2.0,1.0
TC015,Aeon,Gratitude,3,3,4.0,1.3333333333333333,1.0
TC015,Aeon,Pride,3,3,4.0,1.3333333333333333,1.0
TC015,Aeon,Reassurance,3,2,3.0,1.0,0.6666666666666666
TC016,Bridging,Solidarity,2,2,5.0,2.5,1.0
TC016,Bridging,Care / compassion,2,2,3.0,1.5,1.0
TC016,Bridging,Hope,2,2,4.0,2.0,1.0
TC016,Bridging,Gratitude,2,2,4.0,2.0,1.0
TC016,Bridging,Pride,2,2,4.0,2.0,1.0
TC019,Esperanza United,Fear,1,1,3.0,3.0,1.0
TC019,Esperanza United,Anxiety / uncertainty,1,1,2.0,2.0,1.0
TC019,Esperanza United,Anger,1,1,2.0,2.0,1.0
TC019,Esperanza United,Moral outrage,1,1,3.0,3.0,1.0
TC019,Esperanza United,Grief / sadness,1,1,1.0,1.0,1.0
TC019,Esperanza United,Solidarity,1,1,3.0,3.0,1.0
TC019,Esperanza United,Care / compassion,1,1,3.0,3.0,1.0
TC019,Esperanza United,Empathy,1,1,3.0,3.0,1.0
TC019,Esperanza United,Defiance,1,1,2.0,2.0,1.0
TC019,Esperanza United,Urgency,1,1,3.0,3.0,1.0
TC021,IAFR Jonathan House,Fear,1,1,3.0,3.0,1.0
TC021,IAFR Jonathan House,Anxiety / uncertainty,1,1,2.0,2.0,1.0
TC021,IAFR Jonathan House,Moral outrage,1,1,1.0,1.0,1.0
TC021,IAFR Jonathan House,Grief / sadness,1,1,2.0,2.0,1.0
TC021,IAFR Jonathan House,Solidarity,1,1,2.0,2.0,1.0
TC021,IAFR Jonathan House,Care / compassion,1,1,3.0,3.0,1.0
TC021,IAFR Jonathan House,Empathy,1,1,3.0,3.0,1.0
TC021,IAFR Jonathan House,Hope,1,1,1.0,1.0,1.0
TC021,IAFR Jonathan House,Reassurance,1,1,1.0,1.0,1.0
TC021,IAFR Jonathan House,Urgency,1,1,2.0,2.0,1.0
TC023,Missions Inc. Programs,Fear,5,1,1.0,0.2,0.2
TC023,Missions Inc. Programs,Anxiety / uncertainty,5,1,1.0,0.2,0.2
